新闻频道,#genre#
CCTV3 综艺,http://183.207.255.190/live/program/live/cctv3hd/4000000/mnf.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#http://121.31.30.91:8085/ysten-business/live/cctv-3/1.m3u8#http://101.71.255.229:6610/zjhs/2/10128/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV4 国际,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/index.m3u8#http://121.31.30.87:8085/ysten-business/live/cctv-4/1.m3u8#http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://39.135.33.12/PLTV/77777777/224/3221226817/index.m3u8#rtmp://58.200.131.2:1935/livetv/cctv4hd
CCTV5 体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8#http://101.71.255.229:6610/zjhs/2/10130/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://183.207.255.190/live/program/live/cctv5hd/4000000/mnf.m3u8#http://121.31.30.91:8085/ysten-business/live/cctv-5/1.m3u8#http://39.135.33.12/PLTV/77777777/224/3221226719/index.m3u8
CCTV6 电影,http://183.207.255.190/live/program/live/cctv6hd/4000000/mnf.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/index.m3u8#http://101.71.255.229:6610/zjhs/2/10131/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://121.31.30.91:8085/ysten-business/live/cctv-6/1.m3u8#http://39.135.33.12/PLTV/77777777/224/3221226644/index.m3u8
CCTV7 军事,http://101.71.255.229:6610/zjhs/2/10067/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.33.12/PLTV/77777777/224/3221226646/index.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226467/index.m3u8
CCTV8 视剧,http://183.207.255.190/live/program/live/cctv8hd/4000000/mnf.m3u8#http://121.31.30.91:8085/ysten-business/live/cctv-8/1.m3u8#http://39.135.33.12/PLTV/77777777/224/3221226721/index.m3u8#http://101.71.255.229:6610/zjhs/2/10132/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/index.m3u8
CCTV9 记录,http://101.71.255.229:6610/zjhs/2/10133/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226236/index.m3u8#http://39.135.135.30/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://39.135.33.12/PLTV/77777777/224/3221226648/index.m3u8
CCTV10 科教,http://39.135.33.12/PLTV/77777777/224/3221226640/index.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226227/index.m3u8#http://183.207.255.190/live/program/live/cctv10hd/4000000/mnf.m3u8#http://101.71.255.229:6610/zjhs/2/10072/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV11 戏曲,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226334/index.m3u8#http://101.71.255.229:6610/zjhs/2/10085/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.33.12/PLTV/77777777/224/3221226816/index.m3u8#http://121.31.30.87:8085/ysten-business/live/cctv-11/1.m3u8
CCTV12 社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225598/index.m3u8#http://101.71.255.229:6610/zjhs


央视频道,#genre#
CCTV-1蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?
CCTV-1蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV-1蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225772/index.m3u8?
CCTV-2蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225676/index.m3u8?
CCTV-2蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV-2蓝光3,http://112.17.40.145/PLTV/88888888/224/3221226138/index.m3u8
CCTV-3蓝光1,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3蓝光2,http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8
CCTV-3蓝光2,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-4蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV-4蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV-4蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225753/index.m3u8?
CCTV-5蓝光1,http://223.110.241.130:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV-5蓝光2,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV-5蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV-5+蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV-5+蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV-5+蓝光3,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-6蓝光1,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6蓝光2,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-6蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV-7蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV-7蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV-7蓝光3,http://112.17.40.7:80/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8蓝光1,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-8蓝光2,http://223.110.247.161:6610/cntv/live1/HD-2500k-1080P-cctv8/HD-2500k-1080P-cctv8
CCTV-8蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV-9蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV-9蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV-9蓝光3,http://112.17.40.8:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV-10蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV-10蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV-10蓝光3,http://112.17.40.48:80/PLTV/88888888/224/3221226199/index.m3u8
CCTV-11蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV-11蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?
CCTV-11蓝光3,http://39.135.250.71/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226057/00000001000000060000000000000497_mdn_1.smil?回看=http://92ltw.top/cjwx/PLTV/xxjxhk.php?id=5628.sm
CCTV-12蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV-12蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225670/index.m3u8?
CCTV-12蓝光3,http://112.17.40.8:80/PLTV/88888888/224/3221226167/index.m3u8
CCTV-13蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225677/index.m3u8?
